Test,Traj1,Traj2,Traj3,Traj4,Auto1,Auto2,Auto3,Auto4,,平均,提案,比較,,分散,提案,比較
Test1,0.899854851,0.928393833,0.897116396,0.906703073,0.839607007,0.920442197,0.884746643,0.864479794,,Test1,0.908017038,0.877318911,,Test1,0.014170222,0.03416538
Test2,0.884094424,0.91352035,0.891245735,0.900134496,0.895162609,0.924659544,0.902766526,0.859970371,,Test2,0.897248751,0.895639763,,Test2,0.012677605,0.02686678
Test3,0.901395696,0.902045336,0.903652136,0.917839332,0.815132166,0.914505013,0.944067442,0.869107542,,Test3,0.906233125,0.885703041,,Test3,0.00779538,0.056248306
Test4,0.919817116,0.93588112,0.880913436,0.934787406,0.878172493,0.950120139,0.932805748,0.857488722,,Test4,0.91784977,0.904646776,,Test4,0.025691609,0.043914782
Test5,0.888178833,0.942542027,0.862540499,0.918715976,0.838264829,0.94670084,0.92310069,0.882168965,,Test5,0.902994334,0.897558831,,Test5,0.034962846,0.047679312
Test6,0.925710926,0.934279125,0.879588704,0.934436595,0.889334895,0.937970562,0.91881223,0.879811973,,Test6,0.918503837,0.906482415,,Test6,0.026261773,0.026763643
Test7,0.934237179,0.946690577,0.879992379,0.93175381,0.837410477,0.939319962,0.927193049,0.893662402,,Test7,0.923168486,0.899396472,,Test7,0.029516598,0.045613148
Test8,0.917795542,0.937823945,0.893299834,0.900194442,0.860846978,0.944092979,0.941106762,0.904121721,,Test8,0.912278441,0.91254211,,Test8,0.019909978,0.038964455
Test9,0.922383377,0.913839919,0.882476385,0.903558238,0.837096453,0.940867695,0.917583023,0.912437457,,Test9,0.90556448,0.901996157,,Test9,0.017208945,0.044999775
Test10,0.930621789,0.908338534,0.878252467,0.928313072,0.894271265,0.944379269,0.93163196,0.906818063,,Test10,0.911381465,0.919275139,,Test10,0.02424637,0.022827475
Test11,0.934463253,0.917747305,0.892867038,0.923782807,0.8717506,0.946554599,0.937203767,0.887164743,,Test11,0.917215101,0.910668427,,Test11,0.01764223,0.036782976
Test12,0.932897307,0.914433368,0.907447628,0.913548311,0.898835911,0.94818251,0.936099516,0.89021082,,Test12,0.917081653,0.918332189,,Test12,0.010991622,0.02815218
Test13,0.935720352,0.896480068,0.896022338,0.919405705,0.886781192,0.946285276,0.9296439,0.885710881,,Test13,0.911907116,0.912105312,,Test13,0.019266716,0.030625964
Test14,0.928648342,0.897964951,0.913173977,0.921229963,0.876296809,0.940530777,0.931814272,0.897815344,,Test14,0.915254308,0.911614301,,Test14,0.013144812,0.029899487
Test15,0.925629613,0.877009061,0.925131041,0.909283398,0.875883646,0.932253059,0.926627781,0.921012937,,Test15,0.909263278,0.913944356,,Test15,0.022803346,0.025785399
Test16,0.933525543,0.871147982,0.926299895,0.926348198,0.906679915,0.936575864,0.938699774,0.937289331,,Test16,0.914330405,0.929811221,,Test16,0.028987762,0.015446102
Test17,0.933973108,0.887933285,0.938948357,0.925810522,0.904029732,0.941171331,0.922656035,0.911717849,,Test17,0.921666318,0.919893737,,Test17,0.023131637,0.016112915
Test18,0.936324999,0.902991968,0.920565009,0.910148737,0.91166853,0.938890188,0.941898385,0.926840045,,Test18,0.917507678,0.929824287,,Test18,0.014471797,0.013741805
Test19,0.940607046,0.916345227,0.918446055,0.925075536,0.864914669,0.943206226,0.932030747,0.932738819,,Test19,0.925118466,0.918222615,,Test19,0.01097556,0.035904051
Test20,0.92912089,0.901480821,0.937380801,0.923089773,0.894516393,0.935188309,0.929441949,0.943080086,,Test20,0.922768071,0.925556684,,Test20,0.015352966,0.021435429
Test21,0.940487746,0.877939014,0.943581917,0.919296429,0.889333601,0.930971881,0.931197262,0.919437334,,Test21,0.920326276,0.91773502,,Test21,0.030249244,0.019714503
Test22,0.936546568,0.899551016,0.925823382,0.92733204,0.909604126,0.928017322,0.927492754,0.936498526,,Test22,0.922313251,0.925403182,,Test22,0.015897756,0.011312484
Test23,0.926787437,0.886484894,0.936370139,0.91360151,0.875942468,0.929395168,0.939018909,0.938279752,,Test23,0.915810995,0.920659074,,Test23,0.021664585,0.030130085
Test24,0.924768447,0.906183201,0.941297697,0.911330561,0.894117864,0.937366885,0.936631681,0.923483287,,Test24,0.920894977,0.922899929,,Test24,0.015697019,0.020220463
Test25,0.921342864,0.916783005,0.935647158,0.916642793,0.897462489,0.939270294,0.950756313,0.927316656,,Test25,0.922603955,0.928701438,,Test25,0.008965385,0.022919481
